yourlist:M20190125216DA2B77BFBD2E6699CA9B6D1C41EB203BCDBR	Entry	Entry name	Status	Protein names	Gene names	Organism	Proteomes
I7FE62	I7FE62	I7FE62_MYCS2	unreviewed	Rieske (2Fe-2S) region	MSMEI_0718	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6I5	I7F6I5	I7F6I5_MYCS2	unreviewed	Putative conserved secreted protein	MSMEI_0720	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2A0	I7G2A0	I7G2A0_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR	MSMEI_0721	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FWW6	I7FWW6	I7FWW6_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0722	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FE69	I7FE69	I7FE69_MYCS2	unreviewed	tRNA/rRNA methyltransferase (SpoU)	MSMEI_0723	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G3W7	I7G3W7	I7G3W7_MYCS2	unreviewed	Glycoside hydrolase, family 76	MSMEI_0724	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6J0	I7F6J0	I7F6J0_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0725	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FWX0	I7FWX0	I7FWX0_MYCS2	unreviewed	Putative xanthine dehydrogenase	MSMEI_0727	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6K3	I7F6K3	I7F6K3_MYCS2	unreviewed	Conserved transmembrane protein	MSMEI_0735	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2B1	I7G2B1	I7G2B1_MYCS2	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	fba MSMEI_0736	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FWX6	I7FWX6	I7FWX6_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0737	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQH2	A0QQH2	A0QQH2_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0754	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QQH3	A0QQH3	A0QQH3_MYCS2	unreviewed	Cobalt-zinc-cadmium resistance protein	MSMEG_0755	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QQH6	A0QQH6	A0QQH6_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0758	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QQH7	A0QQH7	PURA_MYCS2	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA MSMEG_0759 MSMEI_0743	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G3Y3	I7G3Y3	I7G3Y3_MYCS2	unreviewed	Thioesterase superfamily	MSMEI_0744	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2B8	I7G2B8	I7G2B8_MYCS2	unreviewed	Cytochrome P450 FAS1	MSMEI_0746	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQI1	A0QQI1	A0QQI1_MYCS2	unreviewed	Antibiotic transporter	MSMEG_0763	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FEA0	I7FEA0	I7FEA0_MYCS2	unreviewed	Na+/H+ antiporter	MSMEI_0748	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G3Y6	I7G3Y6	I7G3Y6_MYCS2	unreviewed	Zinc finger, UBP-type	MSMEI_0749	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQI4	A0QQI4	A0QQI4_MYCS2	unreviewed	Formate-dependent phosphoribosylglycinamide formyltransferase	purT MSMEG_0766	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2C1	I7G2C1	I7G2C1_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0751	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FWY8	I7FWY8	I7FWY8_MYCS2	unreviewed	Rhodanese domain protein	MSMEI_0752	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEA6	I7FEA6	I7FEA6_MYCS2	unreviewed	O-succinylhomoserine sulfhydrylase (OSH sulfhydrylase) (OSHS sulfhydrylase) (EC 2.5.1.-)	metZ MSMEI_0753	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6L9	I7F6L9	I7F6L9_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR (EC 1.1.1.30)	MSMEI_0755	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6M4	I7F6M4	I7F6M4_MYCS2	unreviewed	Beta-lactamase-like protein	MSMEI_0760	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQJ4	A0QQJ4	FGD_MYCS2	reviewed	F420-dependent glucose-6-phosphate dehydrogenase (FGD) (G6PD) (EC 1.1.98.2)	fgd fgd1 MSMEG_0777 MSMEI_0761	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QQJ6	A0QQJ6	A0QQJ6_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR	MSMEG_0779	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2D5	I7G2D5	I7G2D5_MYCS2	unreviewed	Aminotransferase class III (EC 2.6.1.-)	MSMEI_0766	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FWZ7	I7FWZ7	I7FWZ7_MYCS2	unreviewed	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	pta MSMEI_0767	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQK1	A0QQK1	ACKA_MYCS2	reviewed	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA MSMEG_0784 MSMEI_0768	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QQK3	A0QQK3	PKNG_MYCS2	reviewed	Serine/threonine-protein kinase PknG (EC 2.7.11.1)	pknG MSMEG_0786 MSMEI_0770	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G2D9	I7G2D9	I7G2D9_MYCS2	unreviewed	Glutamine-binding lipoprotein GlnH	glnH MSMEI_0771	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQK7	A0QQK7	THIE_MYCS2	reviewed	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE MSMEG_0789 MSMEI_0774	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
A0QQK8	A0QQK8	A0QQK8_MYCS2	unreviewed	Glycine oxidase ThiO (EC 1.4.3.19)	thiO MSMEG_0791	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2E2	I7G2E2	I7G2E2_MYCS2	unreviewed	Thiamine biosynthesis protein ThiS	thiS MSMEI_0776	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQL0	A0QQL0	THIG_MYCS2	reviewed	Thiazole synthase (EC 2.8.1.10)	thiG MSMEG_0793 MSMEI_0777	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G415	I7G415	I7G415_MYCS2	unreviewed	ABC transporter ATP-binding protein	MSMEI_0779	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX10	I7FX10	I7FX10_MYCS2	unreviewed	Aminopeptidase Y Metallo peptidase MEROPS family M28A (EC 3.4.11.15)	MSMEI_0787	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX14	I7FX14	I7FX14_MYCS2	unreviewed	Uracil-xanthine permease	MSMEI_0792	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6P9	I7F6P9	I7F6P9_MYCS2	unreviewed	Transcriptional regulator, TetR family	MSMEI_0795	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQN1	A0QQN1	A0QQN1_MYCS2	unreviewed	Membrane protein	MSMEG_0814	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7F6Q4	I7F6Q4	I7F6Q4_MYCS2	unreviewed	Amidase, hydantoinase/carbamoylase (EC 3.5.1.87)	MSMEI_0800	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2G4	I7G2G4	I7G2G4_MYCS2	unreviewed	Amidase (EC 3.5.1.4)	MSMEI_0801	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G438	I7G438	I7G438_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0804	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6R1	I7F6R1	I7F6R1_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0805	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2G7	I7G2G7	I7G2G7_MYCS2	unreviewed	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	thiD MSMEI_0806	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G442	I7G442	I7G442_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0809	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6R7	I7F6R7	I7F6R7_MYCS2	unreviewed	Exodeoxyribonuclease III protein XthA (EC 3.1.11.2)	xthA MSMEI_0810	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX29	I7FX29	I7FX29_MYCS2	unreviewed	GCN5-related N-acetyltransferase	MSMEI_0812	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQP8	A0QQP8	DEF_MYCS2	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def MSMEG_0832 MSMEI_0813	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G446	I7G446	I7G446_MYCS2	unreviewed	Transcriptional regulator, Fis family	MSMEI_0814	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6S5	I7F6S5	I7F6S5_MYCS2	unreviewed	Putative tuberculin related peptide	MSMEI_0815	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2H6	I7G2H6	I7G2H6_MYCS2	unreviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	sodC MSMEI_0816	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQQ2	A0QQQ2	GCS21_MYCS2	reviewed	Putative glutamate--cysteine ligase 2-1 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2-1) (GCS 2-1) (Gamma-GCS 2-1)	MSMEG_0836 MSMEI_0817	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G449	I7G449	I7G449_MYCS2	unreviewed	AsnC-family transcriptional regulator	MSMEI_0819	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6T3	I7F6T3	I7F6T3_MYCS2	unreviewed	Peptidase S16, lon-like protein (EC 3.4.21.53)	MSMEI_0820	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQQ7	A0QQQ7	A0QQQ7_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0842	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FEI3	I7FEI3	I7FEI3_MYCS2	unreviewed	Monovalent cation/proton antiporter, MnhG/PhaG subunit	MSMEI_0823	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6T8	I7F6T8	I7F6T8_MYCS2	unreviewed	Multisubunit Na+/H+ antiporter MnhE subunit-like protein	MSMEI_0825	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2I4	I7G2I4	I7G2I4_MYCS2	unreviewed	Putative cation antiporter NADH dehydrogenase subunit (EC 1.6.99.5)	MSMEI_0826	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX42	I7FX42	I7FX42_MYCS2	unreviewed	NADH-ubiquinone oxidoreductase chain 4L	MSMEI_0827	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEI8	I7FEI8	I7FEI8_MYCS2	unreviewed	Putative cation antiporter NADH dehydrogenase subunit (EC 1.6.99.5)	MSMEI_0828	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEK0	I7FEK0	I7FEK0_MYCS2	unreviewed	Transcriptional regulator, TetR family	MSMEI_0838	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G468	I7G468	I7G468_MYCS2	unreviewed	Conserved ATPase (EC 3.6.4.6)	MSMEI_0839	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQS6	A0QQS6	PSD_MYCS2	reviewed	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd MSMEG_0861 MSMEI_0841	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7FX50	I7FX50	I7FX50_MYCS2	unreviewed	Molybdopterin biosynthesis protein MoeA2	moaE2 MSMEI_0842	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEK4	I7FEK4	I7FEK4_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR	MSMEI_0843	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQS9	A0QQS9	A0QQS9_MYCS2	unreviewed	Bacterial membrane flanked domain family protein	MSMEG_0864	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7F6W5	I7F6W5	I7F6W5_MYCS2	unreviewed	Membrane-flanked domain protein	MSMEI_0845	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2K2	I7G2K2	I7G2K2_MYCS2	unreviewed	HAD-superfamily hydrolase, subfamily IIA	MSMEI_0846	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQT9	A0QQT9	A0QQT9_MYCS2	unreviewed	Transcriptional regulator, GntR family protein	MSMEG_0874	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2L0	I7G2L0	I7G2L0_MYCS2	unreviewed	Dihydrodipicolinate synthase (EC 4.3.3.7)	MSMEI_0856	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX58	I7FX58	I7FX58_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR	MSMEI_0857	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQU5	A0QQU5	CH601_MYCS2	reviewed	60 kDa chaperonin 1 (GroEL protein 1) (Protein Cpn60 1)	groL1 groEL1 groL2 MSMEG_0880 MSMEI_0859	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G2L4	I7G2L4	I7G2L4_MYCS2	unreviewed	Pyridoxamine 5'-phosphate oxidase-related, FMN-binding protein	MSMEI_0861	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX61	I7FX61	I7FX61_MYCS2	unreviewed	Amidohydrolase family protein/D-aminoacylase domain protein (EC 3.5.2.3)	MSMEI_0862	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEM7	I7FEM7	I7FEM7_MYCS2	unreviewed	Glyoxalase/bleomycin resistance protein/dioxygenase	MSMEI_0863	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F6Z1	I7F6Z1	I7F6Z1_MYCS2	unreviewed	Serine/threonine-protein kinase pknF (EC 2.7.11.1)	pknF MSMEI_0865	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2L8	I7G2L8	I7G2L8_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0866	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEN2	I7FEN2	I7FEN2_MYCS2	unreviewed	Aldehyde dehydrogenase	gabD2 MSMEI_0868	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G498	I7G498	I7G498_MYCS2	unreviewed	Metal dependent phosphohydrolase (EC 4.2.1.69)	MSMEI_0869	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2N4	I7G2N4	I7G2N4_MYCS2	unreviewed	Conserved secreted protein	MSMEI_0871	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FER6	I7FER6	I7FER6_MYCS2	unreviewed	SAF domain protein (EC 1.1.1.3)	MSMEI_0873	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G4C3	I7G4C3	I7G4C3_MYCS2	unreviewed	GntR family transcriptional regulator	MSMEI_0874	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2P2	I7G2P2	I7G2P2_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0876	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX91	I7FX91	I7FX91_MYCS2	unreviewed	Ketose-bisphosphate aldolase (EC 4.1.2.13)	MSMEI_0877	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FES7	I7FES7	I7FES7_MYCS2	unreviewed	Prolyl oligopeptidase (EC 3.4.21.26)	MSMEI_0878	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G4D2	I7G4D2	I7G4D2_MYCS2	unreviewed	Aldehyde dehydrogenase (EC 1.2.1.3)	MSMEI_0879	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F727	I7F727	I7F727_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0880	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FX95	I7FX95	I7FX95_MYCS2	unreviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	lpd MSMEI_0882	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G4D8	I7G4D8	I7G4D8_MYCS2	unreviewed	Carboxymuconolactone decarboxylase (EC 4.1.1.44)	MSMEI_0884	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F730	I7F730	I7F730_MYCS2	unreviewed	Transcriptional regulator, XRE family	MSMEI_0885	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQX4	A0QQX4	A0QQX4_MYCS2	unreviewed	Acyl-ACP thioesterase superfamily protein	MSMEG_0909	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G4E1	I7G4E1	I7G4E1_MYCS2	unreviewed	Isocitrate lyase (EC 4.1.3.1)	icl MSMEI_0889	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F734	I7F734	I7F734_MYCS2	unreviewed	3-hydroxybutyryl-CoA dehydrogenase FadB2 (EC 1.1.1.-)	fadB2 MSMEI_0890	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2Q2	I7G2Q2	I7G2Q2_MYCS2	unreviewed	Mycolic acid synthase UmaA (EC 2.1.1.79)	umaA MSMEI_0891	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQY0	A0QQY0	A0QQY0_MYCS2	unreviewed	Polyphosphate kinase 2 superfamily protein	MSMEG_0915	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G4E7	I7G4E7	I7G4E7_MYCS2	unreviewed	TetR family transcriptional regulator	MSMEI_0894	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQY2	A0QQY2	A0QQY2_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0917	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7G2Q6	I7G2Q6	I7G2Q6_MYCS2	unreviewed	Transcriptional regulator, XRE family	MSMEI_0896	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F743	I7F743	I7F743_MYCS2	unreviewed	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC MSMEI_0900	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G2Q9	I7G2Q9	I7G2Q9_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0901	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQZ1	A0QQZ1	A0QQZ1_MYCS2	unreviewed	Uncharacterized protein	MSMEG_0926	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7F749	I7F749	I7F749_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0905	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQZ3	A0QQZ3	MURB_MYCS2	reviewed	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB MSMEG_0928 MSMEI_0906	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7FXB2	I7FXB2	I7FXB2_MYCS2	unreviewed	Lipoprotein lprQ	MSMEI_0907	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEW0	I7FEW0	I7FEW0_MYCS2	unreviewed	Short-chain dehydrogenase/reductase SDR	MSMEI_0908	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QQZ8	A0QQZ8	MSHA_MYCS2	reviewed	D-inositol 3-phosphate glycosyltransferase (EC 2.4.1.250) (N-acetylglucosamine-inositol-phosphate N-acetylglucosaminyltransferase) (GlcNAc-Ins-P N-acetylglucosaminyltransferase)	mshA MSMEG_0933 MSMEI_0910	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7G2R4	I7G2R4	I7G2R4_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0911	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FXB6	I7FXB6	I7FXB6_MYCS2	unreviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA MSMEI_0912	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QR01	A0QR01	SENX3_MYCS2	reviewed	Signal-transduction histidine kinase senX3 (EC 2.7.13.3)	senX3 MSMEG_0936 MSMEI_0913	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7F758	I7F758	I7F758_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0915	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FXB8	I7FXB8	I7FXB8_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0917	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7FEW8	I7FEW8	I7FEW8_MYCS2	unreviewed	Xylose isomerase-like TIM barrel	MSMEI_0918	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G4G4	I7G4G4	I7G4G4_MYCS2	unreviewed	Uncharacterized protein	MSMEI_0919	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7F763	I7F763	I7F763_MYCS2	unreviewed	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC MSMEI_0920	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QR09	A0QR09	A0QR09_MYCS2	unreviewed	DNA binding domain, excisionase family protein	MSMEG_0944	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
I7FEX6	I7FEX6	I7FEX6_MYCS2	unreviewed	Phospholipid/glycerol acyltransferase (EC 2.-.-.-)	MSMEI_0923	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
I7G4G7	I7G4G7	I7G4G7_MYCS2	unreviewed	UPF0336 protein MSMEI_0924	MSMEI_0924	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
A0QR14	A0QR14	A0QR14_MYCS2	unreviewed	HAD-superfamily protein subfamily protein IB hydrolase, TIGR01490	MSMEG_0949	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome
A0QR17	A0QR17	HEM1_MYCS2	reviewed	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA MSMEG_0952 MSMEI_0927	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000000757: Chromosome, UP000006158: Chromosome
I7FEY1	I7FEY1	I7FEY1_MYCS2	unreviewed	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC MSMEI_0928	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	UP000006158: Chromosome
